362;_____ is the result of revealing the meaning of raw facts.;End-user data;An encoded sample;An encrypted bit;Information;Information

363;_____ is the body of information and facts about a specific subject.;Validation;A format;Knowledge;A database;Knowledge

364;Accurate, relevant, and timely information is the key to ____.;data management;good decision making;knowledge; understanding;Good decision making

365;End-user data is _____.;knowledge about the end users; raw facts of interest to the end user; information about a specific subject; accurate relevant and timely information;Raw facts of interest to the end user

366;_____ provide a description of the data characteristics and the set of relationships that link the data found within the database.;Queries; End-user data; Metadata; Schemas;Metadata

367;_____ serve as the intermediary between the user and the database.;DBMSs; Metadata; End-user data; Programming languages;DBMSs

368;The database structure in a DBMS is stored as a _____.;single file; collection of files; set of key/value pairs; collection of queries;Collection of files

369;A(n) _____ might be written by a programmer or it might be created through a DBMS utility program.;query; operating system; database management system; application;Application

370;_____ exists when different versions of the same data appear in different places.;Data inconsistency; Poor data security; Structural dependence; Conceptual dependence;Data inconsistency

371;The response of the DBMS to a query is the ___________;ad hoc query; ad hoc response; query result set; integrated view of the data;Query result set

372;A(n) _____ database is used by an organization and supports many users across many departments.;desktop; workgroup; enterprise; transactional;Enterprise

373;A(n) _____ database supports a relatively small number of users (usually fewer than 50) or a specific department within an organization.;desktop; workgroup; enterprise; transactional;Workgroup

374;A workgroup database is a(n) _____ database.;single-user; multiuser; desktop; distributed;Multiuser

375;A desktop database is a _____ database.;single-user; multiuser; workgroup; distributed;Single-user

376;A data warehouse contains historical data obtained from the _____.;operational databases; desktop database; enterprise databases; workgroup databases;Operational databases

377;_____ data exist in the format in which they were collected.;Structured;Semistructured; Unstructured; Historical;Unstructured

378;_____ data exist in a format that does not lend itself to processing that yields information.;Structured;Semistructured;Unstructured;Historical;Unstructured

379;_____ are the result of formatting disorganized data in order to facilitate storage, use and generation of information.;Structured data;Raw data;Unstructured data; Obsolete data;Structured data

380;Most data that can be encountered are best classified as _____.;structured;semistructured;unstructured;historical;Semistructured

381;An XML database supports the storage and management of _____ XML data.;structured;multistructured; fullystructured; semistructured;Semistructured

382;The organization of data within folders in a manual file system is determined by _______.;its date of creation; its expected use; the title of the documents in the folder; the data processing specialist;Its expected use

383;A _____ is a logically connected set of one or more fields that describes a person, place, or thing.;database; column; record; file;Record

384;A _____ is a collection of related records.;schema; field; column; file;File

385;A _____ is a character or group of characters that has a specific meaning.;database; field; record; file;Field

386;Which of the following is true of spreadsheet applications?;They provide enhanced security and robust data sharing features; They do not allow manipulation of data once entered; They are a better alternative to databases;They enhance the user`s ability to understand the data.;They enhance the user`s ability to understand the data.

387;Which of the following refers to the situation where different versions of the same data are stored at different places because they werent updated consistently?;Data query; Data integrity; Data dictionary; Data redundancy;Data redundancy

388;Data is said to be verifiable if:;the data always yields consistent results; the data cannot be changed or manipulated; the data is obtained from trusted sources; the data is stored in different places within the database.;the data always yields consistent results

389;_____ is defined as the condition in which all of the data in the database are consistent with the real-world events and conditions.;Data integrity; Data anomaly; Data ubiquity; Data quality;Data integrity

390;The term _____ refers to an organization of components that define and regulate the collection, storage, management and use of data within a database environment.;structured data; transaction; management system;database system;Database system

391;_____ relates to the activities that make the database execute transactions more efficiently in terms of storage and access speed;Performance tuning; Database design; Query access; Database management.;Performance tuning

392;A(n) _____s main function is to help one understand the complexities of the real-world environment.;node; entity; model; database;Model

393;A(n) _____ is anything about which data are to be collected and stored.;attribute; entity; relationship; constraint;Entity

394;A(n) _____ represents a particular type of object in the real world.;attribute; entity; relationship; node;Entity

395;A(n) _____ is the equivalent of a field in a file system.;attribute; entity; relationship; constraint;Attribute

396;A(n) _____ is bidirectional.;attribute; entity; relationship; constraint;Relationship

397;A(n) _____ is a restriction placed on the data.;attribute; entity; relationship; constraint;Constraint

398;_____ are important because they help to ensure data integrity.;Attributes; Entities; Relationships; Constraints;Constraints

399;_____ are normally expressed in the form of rules.;Attributes; Entities; Relationships; Constraints;Constraints

