question;option_a;option_b;option_c;option_d;correct_option;probability
_____ is the body of information and facts about a specific subject.;Validation;A format;Knowledge;A database;Knowledge;1
Accurate, relevant, and timely information is the key to ____.;data management;good decision making;knowledge; understanding;Good decision making;1
End-user data is _____.;knowledge about the end users; raw facts of interest to the end user; information about a specific subject; accurate relevant and timely information;Raw facts of interest to the end user;1
_____ provide a description of the data characteristics and the set of relationships that link the data found within the database.;Queries; End-user data; Metadata; Schemas;Metadata;1
_____ serve as the intermediary between the user and the database.;DBMSs; Metadata; End-user data; Programming languages;DBMSs;1
The database structure in a DBMS is stored as a _____.;single file; collection of files; set of key/value pairs; collection of queries;Collection of files;1
A(n) _____ might be written by a programmer or it might be created through a DBMS utility program.;query; operating system; database management system; application;Application;1
_____ exists when different versions of the same data appear in different places.;Data inconsistency; Poor data security; Structural dependence; Conceptual dependence;Data inconsistency;1
The response of the DBMS to a query is the ___________;ad hoc query; ad hoc response; query result set; integrated view of the data;Query result set;1
A(n) _____ database is used by an organization and supports many users across many departments.;desktop; workgroup; enterprise; transactional;Enterprise;1
A(n) _____ database supports a relatively small number of users (usually fewer than 50) or a specific department within an organization.;desktop; workgroup; enterprise; transactional;Workgroup;1
A workgroup database is a(n) _____ database.;single-user; multiuser; desktop; distributed;Multiuser;1
A desktop database is a _____ database.;single-user; multiuser; workgroup; distributed;Single-user;1
A data warehouse contains historical data obtained from the _____.;operational databases; desktop database; enterprise databases; workgroup databases;Operational databases;1
_____ data exist in the format in which they were collected.;Structured;Semistructured; Unstructured; Historical;Unstructured;1
_____ data exist in a format that does not lend itself to processing that yields information.;Structured;Semistructured;Unstructured;Historical;Unstructured;1
_____ are the result of formatting disorganized data in order to facilitate storage, use and generation of information.;Structured data;Raw data;Unstructured data; Obsolete data;Structured data;1
Most data that can be encountered are best classified as _____.;structured;semistructured;unstructured;historical;Semistructured;1
An XML database supports the storage and management of _____ XML data.;structured;multistructured; fullystructured; semistructured;Semistructured;1
The organization of data within folders in a manual file system is determined by _______.;its date of creation; its expected use; the title of the documents in the folder; the data processing specialist;Its expected use;1
A _____ is a logically connected set of one or more fields that describes a person, place, or thing.;database; column; record; file;Record;1
A _____ is a collection of related records.;schema; field; column; file;File;1
A _____ is a character or group of characters that has a specific meaning.;database; field; record; file;Field;1
